,slno,url,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,rating
40,42,https://www.nasa.gov/,295.0,0.03728813559322034,13.220338983050848,0,1,92,4623.1005859375,88.78559712550869,48,9,0,31.24137502674129,1655,5.25
41,43,https://presidentofindia.gov.in/,586.0,0.7064846416382252,13.139931740614335,0,5,64,1819.5234375,92.12426845971859,49,19,0,39.273645402693575,1922,4.541666666666667
42,45,https://rajyasabhahindi.nic.in,224.0,0.02232142857142857,2.6785714285714284,1,0,304,296.9736328125,70.57457884058256,25,9,0,71.79907399699583,1643,3.1739130434782608
43,46,http://mls.org.in/,143.0,0.15384615384615385,10.48951048951049,0,142,57,212.2607421875,92.78967587587128,25,17,0,56.895244803030174,1695,3.217391304347826
44,47,https://www.usa.gov/,431.0,0.046403712296983764,5.5684454756380495,0,25,92,1472.5859375,81.41953727233661,42,5,0,37.831104265782265,1210,4.608695652173913
45,48,https://www.gov.uk/,570.0,0.19824561403508767,6.666666666666668,0,30,91,28.5869140625,61.72582243022581,11,5,0,55.50765620270187,1663,4.217391304347826
46,49,http://english.gov.cn/,476.0,0.10504201680672268,15.336134453781511,0,44,188,1885.029296875,96.3535153113295,42,17,0,44.372634096447385,1633,4.260869565217392
47,51,https://www.spectrumnews.org/,612.0,0.7418300653594772,32.189542483660134,0,44,250,1134.51171875,77.6795152099437,89,12,0,62.03390313085289,1579,5.565217391304348
48,52,https://www.self.com/,717.0,0.030683403068340307,12.412831241283126,1,15,83,1821.2109375,39.76561997297471,148,14,0,84.34422715208473,1670,5.227272727272728
49,53,https://cghs.gov.in/,2616.0,0.0,35.85626911314985,2,4,167,3948.3447265625,95.30168026801184,241,14,0,50.06472269885998,2234,3.1304347826086962
50,54,http://www.pci.nic.in/,1407.0,0.02487562189054726,14.143567874911161,2,4,228,6815.26171875,93.90765899374507,153,21,0,59.89125353024618,2296,4.217391304347826
51,55,https://khabarlahariya.org/,1216.0,0.4120065789473684,5.921052631578947,1,24,305,291.7587890625,92.00631943258992,42,13,0,57.21074911599172,2067,4.391304347826087
52,56,https://bharatswasthya.net/,244.0,0.049180327868852465,2.459016393442623,0,14,50,1274.5625,94.18550483008877,64,19,0,46.844616982890635,2015,3.8260869565217392
53,57,https://www.who.int/,227.0,0.07048458149779736,15.418502202643174,1,34,565,5806.8037109375,98.12573377101583,100,12,0,53.56668550765879,1829,5.086956521739131
